uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	dataset_active	evidence	organism
Q32NB8	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38322995	Homo sapiens
P39769	PhaSepDB	NotInformed	NotInformed	driver	driver	1	36412795;38257239;33154383	Drosophila melanogaster
Q64028	PhaSepDB	NotInformed	NotInformed	driver	driver	1	30514760	Mus musculus
P78364	PhaSepDB	Nuclear body	nuclear_body	driver	driver	1	37756159;34620850	Homo sapiens
Q8IXK0	PhaSepDB	Nuclear body	nuclear_body	driver	driver	1	37756159	Homo sapiens
Q8NDX5	PhaSepDB	Nuclear body	nuclear_body	driver	driver	1	37756159	Homo sapiens
O75151	PhaSepDB	NotInformed	NotInformed	driver	driver	1	35887017	Homo sapiens
Q92576	PhaSepDB	NotInformed	NotInformed	driver	driver	1	34667177	Homo sapiens
P14713	PhaSepDB	Photobody	plant_photobody	driver	driver	1	38664420;35728588;38684657	Arabidopsis thaliana
O75928	PhaSepDB	PML nuclear body	pml_nuclear_body	driver	driver	1	31171703	Homo sapiens
Q9N3P1	PhaSepDB	Z granule	z_granule	driver	driver	1	33438773	Caenorhabditis elegans
Q84LH8	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38664420	Arabidopsis thaliana
Q13526	PhaSepDB	Transcriptional condensate	transcriptional_condensate	driver	driver	1	39266551	Homo sapiens
Q9LU77	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37721949	Arabidopsis thaliana
Q9VB22	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37655159	Drosophila melanogaster
P06197	PhaSepDB	NotInformed	NotInformed	driver	driver	1	25761633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q9VD51	PhaSepDB	Nucleolus	nucleolus	driver	driver	1	28115706	Drosophila melanogaster
Q8CDG1	PhaSepDB	NotInformed	NotInformed	driver	driver	1	39029469	Mus musculus
P14618	PhaSepDB	NotInformed	NotInformed	driver	driver	1	39622827	Homo sapiens
P9WI75	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31366629	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O60733	PhaSepDB	NotInformed	NotInformed	driver	driver	1	38322995	Homo sapiens
P19174	PhaSepDB	NotInformed	NotInformed	driver	driver	1	35231400	Homo sapiens
P37894	PhaSepDB	NotInformed	NotInformed	driver	driver	1	35124010	Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15)
P34331	PhaSepDB	Pericentriolar matrix	centrosome	driver	driver	1	28575670	Caenorhabditis elegans
O00444	PhaSepDB	Centrosome	centrosome	driver	driver	1	31672968;33658185;33323015	Homo sapiens
O00444	PhaSepDB	Pericentriolar matrix	centrosome	driver	driver	1	33658185	Homo sapiens
